"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.delta","log2fold_change","Auc"
"500","CXorf57","hurdle",4.67196534041046e-08,4.592046,6.595979,2.003933,0.621
"813","G3BP2","hurdle",4.89055176218397e-05,6.722486,7.606719,0.884233,0.62
"2228","UNC80","hurdle",8.11595062976245e-06,5.536258,6.668851,1.132593,0.619
"1881","SLC25A4","hurdle",0.000431650788272792,7.204328,7.972387,0.768059,0.619
"1443","PAPPA2","hurdle",1.42913502450321e-07,4.801022,6.443076,1.642054,0.619
"278","CACNA2D2","hurdle",2.54844637019818e-06,4.937808,5.952238,1.01443,0.619
"1","A1CF","hurdle",2.54743958146643e-05,5.708711,6.654118,0.945407,0.619
"1869","SLC17A6","hurdle",1.72290520233605e-14,1.596313,6.160207,4.563894,0.618
"740","FANCF","hurdle",5.38575737462969e-06,5.12454,6.755707,1.631167,0.618
"162","BAALC","hurdle",2.70937652212565e-08,3.538524,5.745297,2.206773,0.618
"2211","UBE2QL1","hurdle",2.71461890302336e-07,4.170643,5.883421,1.712778,0.617
"1119","LCORL","hurdle",3.60736126621339e-06,5.138753,6.660148,1.521395,0.617
"948","HMGN2","hurdle",0.000568277373648902,7.271469,7.776515,0.505046,0.617
"1891","SLC36A4","hurdle",7.27742493358831e-05,6.008437,7.021114,1.012677,0.616
"1867","SLC16A12","hurdle",1.57968335913822e-06,4.315548,5.755404,1.439856,0.616
"772","FGF14","hurdle",1.60941687707113e-06,4.469679,6.300648,1.830969,0.616
"2117","TMEM42","hurdle",4.33106245272537e-05,5.283929,6.321115,1.037186,0.615
"2098","TMEM130","hurdle",4.55647079177061e-08,3.962536,5.997692,2.035156,0.615
"1968","SSTR1","hurdle",2.48778252135766e-07,4.718213,6.529102,1.810889,0.615
"1552","PLEKHB1","hurdle",1.46835410091919e-05,5.978241,7.082191,1.10395,0.615
"1043","KCNH2","hurdle",5.48728685312322e-05,5.62288,6.58873,0.96585,0.615
"791","FNDC3A","hurdle",6.52232598815886e-05,7.008313,8.03062,1.022307,0.615
"470","CPLX2","hurdle",1.39175631198498e-05,5.706297,6.572335,0.866038,0.615
"200","BUB3","hurdle",0.000384192411261887,6.480092,7.291888,0.811796,0.615
"11","ABCC9","hurdle",8.4885548982757e-06,5.231619,6.269044,1.037425,0.615
"1736","RIMS2","hurdle",4.80827348981708e-06,5.199027,6.661156,1.462129,0.614
"1404","NUDT9","hurdle",0.000129293315348516,6.382646,7.32051,0.937863999999999,0.614
"1363","NLRP1","hurdle",1.56430924427255e-12,5.873275,8.157049,2.283774,0.614
"614","DYNC2H1","hurdle",2.23535132368501e-06,4.5075,6.167799,1.660299,0.614
"2268","WASF3","hurdle",1.03903982524997e-07,3.514414,5.798515,2.284101,0.613
"1664","RAB3B","hurdle",0.000268221937142781,7.766012,8.460752,0.694739999999999,0.613
"1296","MTUS1","hurdle",0.000170180573475814,6.78016,7.401389,0.621229,0.613
"1200","MAPK10","hurdle",6.94111439716803e-06,4.742024,5.981353,1.239329,0.613
"615","DZIP3","hurdle",0.000894157277698941,6.401208,7.292511,0.891303000000001,0.613
"2072","TGFBR3","hurdle",3.76565845153903e-07,4.429362,6.200659,1.771297,0.612
"2022","SYT7","hurdle",0.000282759668223226,6.224087,6.962047,0.73796,0.612
"1856","SIM1","hurdle",1.84834949625133e-08,3.100113,5.526843,2.42673,0.612
"1143","LRCH2","hurdle",1.59236944546557e-08,3.201474,5.632433,2.430959,0.612
"1062","KCNT2","hurdle",7.27188723331172e-10,2.223397,5.027107,2.80371,0.612
"2225","UNC5B","hurdle",5.85402831402658e-05,6.271509,6.924279,0.65277,0.611
"2106","TMEM17","hurdle",1.50254318921535e-06,4.750559,6.361466,1.610907,0.611
"1414","OGDHL","hurdle",9.70953460066121e-07,4.204422,6.020523,1.816101,0.611
"810","FXYD6","hurdle",0.00023721610215162,7.212045,8.02811,0.816065,0.611
"379","CDK5R2","hurdle",8.33392509771438e-06,4.889092,5.759347,0.870255,0.611
"1905","SLC7A8","hurdle",0.00049833102589016,7.402582,8.047893,0.645311,0.61
"1563","PNMA1","hurdle",0.000102362861952605,6.452661,7.402182,0.949521,0.61
"1189","MAP1LC3A","hurdle",0.000290462890927607,6.86345,7.460741,0.597290999999999,0.61
"2337","ZKSCAN1","hurdle",0.000404972656178899,7.762295,8.48109,0.718795,0.609
"1975","ST8SIA3","hurdle",8.67098594844152e-05,5.448714,6.454325,1.005611,0.609
"1970","ST18","hurdle",3.50956104428894e-05,5.38982,6.499129,1.109309,0.609
"1773","RTN1","hurdle",0.00014765197229313,6.052952,6.937342,0.88439,0.609
"1574","PON3","hurdle",8.5746686154755e-06,5.282306,6.69878,1.416474,0.609
"1371","NOVA1","hurdle",7.39462688929753e-05,4.637225,5.683475,1.04625,0.609
"1197","MAP7","hurdle",0.000382788610074481,5.760353,6.733224,0.972871,0.609
"505","CYFIP2","hurdle",4.01521493183189e-05,5.099906,6.457399,1.357493,0.609
"238","C22orf42","hurdle",4.91564274171659e-10,3.026723,5.669172,2.642449,0.609
"1330","NBEA","hurdle",7.49668332632443e-05,5.698778,7.057126,1.358348,0.608
"1324","NAP1L5","hurdle",5.86336452828754e-06,4.485121,6.030271,1.54515,0.608
"1039","KCNB2","hurdle",1.75787665941673e-07,3.244171,5.257957,2.013786,0.608
"55","AKAP11","hurdle",0.000662720738773245,5.782975,6.817302,1.034327,0.608
"686","F5","hurdle",1.35099279944908e-10,2.347392,5.724634,3.377242,0.607
"1976","ST8SIA4","hurdle",6.03998604682379e-15,0.3261923,4.6541801,4.3279878,0.606
"938","HIPK2","hurdle",0.000244193354257286,6.948836,7.790127,0.841291,0.606
"196","BTBD3","hurdle",0.000450179948481513,5.496953,6.573381,1.076428,0.606
"2377","ZNF33A","hurdle",0.000510130154412084,5.834255,6.821865,0.98761,0.605
"2218","UCP2","hurdle",2.22352660689272e-05,6.030803,7.405735,1.374932,0.605
"2111","TMEM200A","hurdle",3.81446610917858e-05,4.619455,6.117214,1.497759,0.605
"1991","STX1A","hurdle",0.000462131496579164,6.681621,7.377834,0.696213,0.605
"1943","SPAG16","hurdle",1.4773189652742e-05,5.995173,6.958288,0.963114999999999,0.605
"1223","MCC","hurdle",1.00496725043991e-05,4.046558,5.687959,1.641401,0.605
"269","CA8","hurdle",4.32254282027555e-07,3.800132,5.796153,1.996021,0.605
"75","AMPH","hurdle",1.47837769384937e-07,3.254643,5.542644,2.288001,0.605
